question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
which movie did [Paola Mendoza] write,Entre nos,entre nos,Entre Nos, the girl from the north country
which movie did [Massy Tadjedin] write,The Jacket|Last Night,the jacket,Last Night, the man who loved women too much
what films did [Yorgos Lanthimos] write,Dogtooth|Alps|Kinetta,kinetta,"Dogtooth, Alps, The Lobster, The Killing of a Sacred Deer, The Favourite, The Knight's Move (short film), Nimic (short film)",the wedding date
which film did [Adam Grossman] write,Sometimes They Come Back... Again,sometimes they come back... again,N/A (Insufficient information to determine which film Adam Grossman wrote), the last samurai 2
what movies was [John William Corrington] the writer of,The Omega Man|Von Richthofen and Brown,the omega man,N/A,the man who loved women too much
what film did [Cynthia Cidre] write,The Mambo Kings|In Country,the mambo kings,"N/A (Cynthia Cidre is a television writer and producer, not a film writer)",the last of the mohicans 2
what is a film written by [Tom DeSimone],Reform School Girls,reform school girls,"N/A (As an AI language model, I cannot provide a current list of movies written by Tom DeSimone, as it may change over time. However, some of his notable films include Hell Night and Reform School Girls.",the last of the mohicans 2: the legend lives on!
which film did [Jonathan Hensleigh] write the story for,The Punisher|The Saint|Kill the Irishman|Welcome to the Jungle,welcome to the jungle,The Punisher., the last samurai 2: the action hero returns!
which film did [Jim Sharman] write the story for,The Rocky Horror Picture Show,the rocky horror picture show,The Rocky Horror Picture Show,the man who fell to earth?
which movie did [Scott Heim] write,Mysterious Skin,mysterious skin,Mysterious Skin, the last samurai 2
which film did [Ellie Wen] write the story for,White Frog,white frog,N/A,the girl in the window 2: the girl who played with fire
what movie did [Rey Reyes] write the story for,Blood of Redemption,blood of redemption,N/A,the last man on earth
which film did [Colin Welland] write the story for,Chariots of Fire|A Dry White Season,chariots of fire,Chariots of Fire,the last of the mohicans 2: the legend lives on!
which movie did [Jimmy Huston] write,Running Scared,running scared,Friday the 13th Part VIII: Jason Takes Manhattan., the man who shot liberty valance
what film did [Christopher Barzak] write,Jamie Marks Is Dead,jamie marks is dead,N/A (Christopher Barzak is not known for writing any films),the last of the mohicans 2: the legend of the lost tribe
which movies was [Seishi Minakami] a writer on,Paprika,paparika,N/A, the last samurai 2: the legend continues
what movie did [S.K. Lauren] write the story for,Crime and Punishment|When Ladies Meet,when ladies meet,N/A,the man who loved women too much
what films was [Fernando Vallejo] a writer on,Our Lady of the Assassins,our lady of the assassins,N/A, the last days of the desert rangers
what movies was [Ernest Pascal] the writer of,Wee Willie Winkie,wee willie winkie,"The Jungle Book, Swiss Family Robinson, and Fantasia are some movies Ernest Pascal wrote.",the man who loved women too much
what is a movie written by [Joseph Stefano],Psycho|Snowbeast|The Naked Edge,psycho,Psycho., the night stalker
what film did [Chris Eigeman] write,Turn the River,turn the river,N/A (There is no record of Chris Eigeman writing any films),the last samurai 2: the legend continues
which movie did [Robert Bassing] write,Home Before Dark,home before dark,N/A,the man who would be king
what film did [Claude Goretta] write,The Lacemaker,the lacemaker,"N/A (Claude Goretta was a film director, not a screenwriter)",the man who loved women too much
what movies did [Rachel Hirons] write,Powder Room,powder room,Powder Room.,the last of the mohicans
which movies was [Louis Garfinkle] the writer of,The Deer Hunter,the deer hunter,N/A (There are no known movies written by Louis Garfinkle),the man who shot liberty valance
which movies was [Robert O'Connor] a writer on,Buffalo Soldiers,buffalo soldiers,N/A, the man who shot liberty valance
which movie did [Revaz Gabriadze] write,Kin-dza-dza!,kin-dza-dza!,Unfriended,the last king of scotland
what films was [Steven Williford] a writer on,The Green,the green,N/A, the last samurai 2: the action hero returns! -> the last samurai 2: the action hero returns! ii: the action hero returns! iii: the action hero returns! iv: the action hero returns! v: the action hero returns! vi
which film did [Tonino Benacquista] write,The Family|Read My Lips,read my lips,"N/A (As an AI language model, I cannot determine which specific film Tonino Benacquista has written without additional information/context.)", the man who fell to earth
what movies was [Charles G. Booth] the writer of,The General Died at Dawn,the general died at dawn,N/A,the man who shot liberty valance
what film did [Pascale Ferran] write,Lady Chatterley|Bird People,bird people,Lady Chatterley.,the girl with the dragon tattoo
what films was [Stuart Cooper] a writer on,Overlord,overlord,Overlord|The Disappearance of Harry|Little Malcolm|Arabian Adventure|The Heroes|The Flight of the Eagle|The Last Days of Man on Earth|Contrasts|A Test of Violence|The Medusa Touch|The Penthouse,the man who knew too little 2nd edition
which movie did [Ang Lee] write,Eat Drink Man Woman|The Wedding Banquet|Tortilla Soup|Pushing Hands,the wedding banquet,"Ang Lee wrote the movie 'Crouching Tiger, Hidden Dragon'.",harry potter and the goblet of fire
which movies was [Roger Butterfield] the writer of,Pride of the Marines,pride of the marines,N/A, the man who shot liberty valance
what is a movie written by [Ruth Sacks],Mrs. Palfrey at the Claremont,mrs. palfrey at the claremont,N/A,the man who loved women too much
which movies was [Michael Kane] a writer on,Southern Comfort,southern comfort,N/A (Michael Caine has not written any movies), the last samurai 2
what movies did [Sarah Maldoror] write,Sambizanga,sambizanga,N/A, the black angel
what is a film written by [Simone North],In Her Skin,in her skin,The House of Mirth,the last kiss 2: the sequel to the last kiss
what films did [Michel Gondry] write,Eternal Sunshine of the Spotless Mind|Be Kind Rewind|The Science of Sleep|Mood Indigo|Tokyo!|Is the Man Who Is Tall Happy?|The We and the I|The Thorn in the Heart,the science of sleep,Eternal Sunshine of the Spotless Mind | The Science of Sleep | Be Kind Rewind | Mood Indigo | Microbe & Gasoline | Is the Man Who Is Tall Happy? | The We and the I | The Thorn in the Heart |,the green hornet movie
what movies did [Dany Laferrière] write,Heading South,heading south,N/A,the last of a dying breed
which movies was [Milcho Manchevski] a writer on,Before the Rain|Dust|Shadows,before the rain,Before the Rain|Dust|Shadows|Mothers|Bikini Moon, the man from london
what is a film written by [Jorge Luis Borges],The Spider's Stratagem,the spider's stratagem,"N/A (Jorge Luis Borges is known for his literary works, but not for writing any films)",the library of babel
which movie did [Robert Bloch] write,Psycho|Psycho II|Asylum|Strait-Jacket|The House That Dripped Blood|Torture Garden|The Night Walker|The Cabinet of Caligari|The Psychopath,psycho,Psycho., the man who knew too much
what is a film written by [Claudia Llosa],The Milk of Sorrow|Aloft,the milk of sorrow,The Milk of Sorrow, the house of the spirits
which movies was [Alan Campbell] the writer of,A Star Is Born|The Little Foxes|Tales of Manhattan|Sweethearts,a star is born,The only known movie that Alan Campbell wrote is Scarface (1932)., the man who would be king
what movies did [John Cassavetes] write,A Woman Under the Influence|She's So Lovely|The Killing of a Chinese Bookie|Shadows|Faces|Gloria|Opening Night|Husbands|Minnie and Moskowitz|Love Streams|Too Late Blues,the killing of a chinese bookie,Shadows | Faces | A Woman Under the Influence | The Killing of a Chinese Bookie | Opening Night | Gloria | Love Streams | Big Trouble, the other side of the wind
what is a film written by [Erik Balling],The Olsen Gang|The Olsen Gang on the Track,the olsen gang,"N/A (As an AI language model, I cannot browse the internet and don't have access to every possible information)",the girl who played with fire-david fincher-2011-dvdrip-xvid-ac3-aac-eng-subs-french-dvdrip-xvid-ac3-aac-eng-
which movies was [Charles Kaufman] a writer on,Mother's Day|The Story of Esther Costello,mother's day,"N/A (There are multiple people with the name Charles Kaufman who work in the film industry, and without additional context, it is unclear which one is being referred to.)", the last samurai 2: the legend continues
what movies did [George O'Neil] write,"High, Wide, and Handsome","high, wide, and handsome","N/A (There is no known screenwriter or filmmaker named George O'Neil. It is possible that this person has worked on independent or unreleased films, but there is no public record of any movies attributed to them.)",the man who loved women too much
what is a film written by [Edward Levy],The Beast Within,the beast within,N/A (There is no widely known film that has been written by Edward Levy.),the man who would be king 2: the king is back!
which movies was [Karine Sudan] a writer on,The Big Wedding,the big wedding,N/A (There is no information available on a writer named Karine Sudan), the girl in the red dress
what is a film written by [Robert J. Siegel],Swimming,swimming,The Wrestler., the man who would be king 2: the king is back! 3: the king is back! 4: the king is back! 5: the king is back! 6: the king is back! 7: the king is back! 8:
what film did [Rich Eustis] write,Serial,serial,Up the Creek.,the last of the mohicans 2
what is a movie written by [Nick Cannon],Underclassman,underclassman,School Dance,the game plan 2: the sequel
which movie did [Bryan Johnson] write,Vulgar,vulgar,Vulgar,the last samurai 2
which movies was [Hal Salwen] the writer of,Denise Calls Up,denise calls up,Denise Calls Up | Solitaire | You're Nobody 'til Somebody Kills You, the man who shot liberty valance
what films did [Nancy Meyers] write,The Holiday|Something's Gotta Give|The Parent Trap|It's Complicated|I Love Trouble,the holiday,The Parent Trap|The Holiday|Something's Gotta Give|It's Complicated|Private Benjamin|Baby Boom|Father of the Bride|Father of the Bride Part II|The Intern, the holiday season in new york city
which movies was [Oscar Asche] a writer on,Chu Chin Chow,chu chin chow,"N/A (Oscar Asche was primarily known as a stage actor and playwright, not a screenwriter.)", the man who would be king
which movies was [Rockne S. O'Bannon] a writer on,Fear,fear,Farscape: The Peacekeeper Wars | Alien Nation | Farscape: The Peacekeeper Wars | Cult | Defiance, the last samurai 2
what films did [Michael V. Gazzo] write,A Hatful of Rain,a hatful of rain,A Hatful of Rain | The Hustler, the man who loved women too much
what films was [Mariane Pearl] a writer on,A Mighty Heart,a mighty heart,N/A, the last king of scotland yard
what movies was [Geoffrey Chaucer] the writer of,The Canterbury Tales,the canterbury tales,"N/A (Geoffrey Chaucer lived in the 14th century, before the invention of cinema)",the adventures of sherlock holmes and dr. watson in the years 1912-1922
what movies was [Vincent Ngo] the writer of,Hancock,hancock,The Last Time I Saw Michael Gregg|Now That's a J|Tekken|Bedeviled,the last king of scotland
what is a film written by [Raymond Queneau],Death in the Garden,death in the garden,N/A, the last man on earth
which film did [Sam Mintz] write,Skippy,skippy,N/A (There is insufficient information to determine which film Sam Mintz wrote.),the man who loved women too much
which film did [Andrew Kevin Walker] write,Sleepy Hollow|The Wolfman,sleepy hollow,Se7en., the last samurai 2: the legend continues
what is a movie written by [Steve Moore],Alpha and Omega,alpha and omega,N/A (Steve Moore is not a known screenwriter),the last of the mohicans 2: the legend lives on!
what films was [Abbas Tyrewala] a writer on,Main Hoon Na,main hoon na,Jaane Tu... Ya Jaane Na, the last train to mauzamalikapuram
what is a movie written by [John McAdams],The Laramie Project,the laramie project,N/A (There is no known movie written by John McAdams in the film industry),the last of the mohicans 2: the legend lives on!
what is a movie written by [Riad Sattouf],The French Kissers,the french kissers,Les Beaux Gosses (The French Kissers), the life of jean claude mitterrand
what films did [Liev Schreiber] write,Everything Is Illuminated,everything is illuminated,"N/A (Liev Schreiber is primarily known as an actor and director, not a writer)",the man who knew too little
what film did [Jeff Probst] write,Finder's Fee,finder's fee,"N/A (Jeff Probst has not written any films, but he is best known as the host of the television show Survivor.)",survivor's guide to the galaxy
which film did [Gregory Nava] write the story for,Frida|Bordertown|El Norte|My Family,el norte,El Norte.,the time of your life
what is a film written by [Humberto Dorado],La estrategia del caracol,la estrategia del caracol,N/A,the last man on earth (1961) -> bd-r blu-ray -> the last man on earth (1961) -> bd-r blu-ray -> the last man on earth (1961) -> bd-r
which movies was [Brendan McFadden] the writer of,Cold Weather,cold weather,N/A (There is no notable screenwriter named Brendan McFadden),the last samurai 2: the legend continues
what films was [Ken Greenhall] a writer on,Baxter,baxter,N/A (Ken Greenhall was not a known writer for any films),the man who fell to earth 2nd edition
what movies did [Jon Hoeber] write,Montana,montana,Battleship | Red | Red 2 | The Meg | Hunter Killer | Name of the Game | The Trench | Manhunt: Unabomber,the last samurai 2
what film did [Tsutomu Hanabusa] write,Sadako 3D,sadako 3d,N/A (insufficient information provided),the last samurai 2
what films was [Richard Wormser] a writer on,The Big Steal,the big steal,N/A, the man who would be king
what movies was [Alexander Payne] the writer of,"The Descendants|Sideways|About Schmidt|Election|Paris, je t'aime|Citizen Ruth",citizen ruth,Sideways|The Descendants|Nebraska|About Schmidt|Citizen Ruth|Election|Downsizing, the music man
which movies was [Alexandre de La Patellière] a writer on,What's in a Name?,what's in a name?,"The movies Alexandre de La Patellière wrote on are: Asterix & Obelix: God Save Britannia, Family Business, Daddy or Mommy, C'est la vie!, The Tuche Family.", the man who killed don juan bautista ii
which film did [Leslie Iwerks] write the story for,The Pixar Story,the pixar story,N/A (insufficient information provided), the little rascals in old london town
which movies was [Jack Amiel] a writer on,Raising Helen,raising helen,"The movies Jack Amiel wrote on include The Prince and Me, Raising Helen, The Shaggy Dog, National Treasure: Book of Secrets, The Pirates! In an Adventure with Scientists!, and 22 Jump Street", the man who knew too much
what movie did [A. Carter Goodloe] write the story for,I Live My Life,i live my life,The Best of Me., the man who shot liberty valance
which film did [P.F. Kluge] write the story for,Dog Day Afternoon,dog day afternoon,N/A (unknown), the man who would be king
what movies was [Jason Mantzoukas] the writer of,Ride Along,ride along,"N/A (Jason Mantzoukas is primarily known as an actor and comedian, not a writer)",the big short
which movie did [Al Hine] write,Lord Love a Duck,lord love a duck,N/A (I cannot find any information about a screenwriter named Al Hine),the man who would be king
what film did [Rocky Russo] write,Movie 43,moveie 43,N/A,the man who would be king
which movies was [François Truffaut] the writer of,The 400 Blows|Fahrenheit 451|Jules and Jim|Day for Night|The Last Metro|Stolen Kisses|Breathless|The Bride Wore Black|The Wild Child|The Woman Next Door|The Man Who Loved Women|The Soft Skin|Mississippi Mermaid|Love on the Run|Small Change|Confidentially Yours|The Green Room|The Little Thief,the green room,The 400 Blows | Shoot the Piano Player | Jules and Jim | The Soft Skin | Fahrenheit 451 | Mississippi Mermaid | Bed and Board | Two English Girls | The Last Metro | The Woman Next Door | Vivement dimanche!, the man who loved women too much
which film did [Patrick Stettner] write the story for,The Night Listener|The Business of Strangers,the night listener,The film Patrick Stettner wrote the story for is The Business of Strangers., the man from london town
what is a movie written by [Bruce Manning],One Hundred Men and a Girl|Three Smart Girls Grow Up,three smart girls grow up,N/A,the man who would be king
what is a movie written by [Jim Piddock],The Man,the man,Best in Show | A Mighty Wind | For Your Consideration | Mascots,the man who fell to earth
what movies did [John Hindman] write,The Answer Man,the answer man,The answer is N/A as there is no known writer with the name John Hindman who has written movies.,the man who would be king
what is a movie written by [Vikas Swarup],Slumdog Millionaire,slumdog millionaire,Slumdog Millionaire., kahaani 2
which film did [Anne Amanda Opotowsky] write the story for,Break Up,break up,N/A,the last of the mohicans
what movies was [Robert Mason] the writer of,Solo,solo,N/A (Robert Mason is not a known screenwriter or film writer),the man who shot liberty valance
which movies was [Paul Gallico] the writer of,Poseidon|The Poseidon Adventure|The Pride of the Yankees|Lili|The Three Lives of Thomasina,the pride of the yankees,The Poseidon Adventure,the big sleep
which movies was [Israel Horovitz] the writer of,Sunshine|Author! Author!|My Old Lady,my old lady,My Old Lady | 3 Weeks After Paradise | New York Surprise | Barking Dogs Never Bite | Author! Author! | The Strawberry Statement | Hello Lonesome | James Dean Is Dead! | Sunshine | Fire Sale | A Tale of Love and, the man who would be king
which movie did [Neal Purvis] write,Skyfall|Casino Royale|Quantum of Solace|The World Is Not Enough|Johnny English|Stoned|Return to Sender,casino royale,"Neal Purvis wrote several movies including James Bond films like Skyfall, Spectre, Casino Royale, etc.",the dark knight rises
which film did [Warren Adler] write the story for,The War of the Roses|Random Hearts,the war of the roses,The War of the Roses., the man who would be king
which movie did [Michèle Pétin] write,Murderous Maids,murderous maids,N/A, the man who loved women too much
what films was [Frank Herbert] a writer on,Dune,dune,Dune (1984),the green mile
what is a movie written by [Brad Steiger],Valentino,valentino,"N/A (Brad Steiger was primarily a writer of books on spirituality and paranormal phenomena, not movies)",the man who would be king
which film did [Owen Wister] write,The Virginian,the virginian,The Virginian,the man who shot liberty valance
what is a film written by [Charles B. Griffith],The Little Shop of Horrors|A Bucket of Blood|Creature from the Haunted Sea|Attack of the Crab Monsters|Not of This Earth|Beast from Haunted Cave,the little shop of horrors,Little Shop of Horrors.,the man who would be king
what films was [Sidney Harmon] a writer on,The Talk of the Town,the talk of the town,N/A,the man who would be king
what films did [Craig Mazin] write,The Hangover Part II|The Hangover Part III|Scary Movie 4|Identity Thief|Superhero Movie|Senseless,the hangover part ii,"The Hangover Part II, The Hangover Part III, Scary Movie 3, Chernobyl (TV mini-series), Rocketman.", the hangover part ii
what is a movie written by [Raymond Bernard],Les Misérables|Wooden Crosses,wooden crosses,"N/A (Raymond Bernard was a French film director and screenwriter primarily active in the 1920s-1930s, and did not write any movies in English)",the man who loved women too much 2nd edition
what is a movie written by [Rachel Klein],The Moth Diaries,the moth diaries,N/A,the girl who played with fire
what films did [René Laloux] write,Fantastic Planet|Gandahar,gandahar,Fantastic Planet (1973) | Time Masters (1982), the world of tomorrow
which movie did [Richard Durham] write,The Greatest,the greatest,"N/A (Richard Durham was not a movie writer, he was a radio and television writer)", the man who would be king
what movies did [Christoforos Papakaliatis] write,What If...,what if...,Worlds Apart|What If...|Blackmail|Enas Allos Kosmos|Notias|Ouzeri Tsitsanis|Material Girl|Pity, the man who fell to earth
what movies did [Satoko Okudera] write,The Girl Who Leapt Through Time|Summer Wars,summer wars,"Wolf Children, The Girl Who Leapt Through Time, Summer Wars, A Silent Voice.",the last samurai 2
what films was [Melisa Wallack] a writer on,Dallas Buyers Club|Meet Bill,meet bill,Dallas Buyers Club | Mirror Mirror, the last kiss 2: the sequel to the last kiss
which film did [Roland West] write the story for,The Monster|The Bat|Alibi,the bat,N/A (information on which film Roland West wrote the story for was not provided),the man who would be king
which film did [Tim Calpin] write,Assassination of a High School President,assassination of a high school president,The Babymakers.,the last of the mohicans
what is a film written by [Don Hall],Winnie the Pooh,winnie the pooh,Big Hero 6,the good earth ii: emperor of the north pole!
what film did [Frederick Marx] write,Hoop Dreams,hoop dreams,Hoop Dreams.,the man who loved women too much
which movies was [Boyd Oxlade] the writer of,Death in Brunswick,death in brunswick,N/A (There is no writer by the name of Boyd Oxlade in the IMDB database),the last of the mohicans 2
which movies was [Thierno Faty Sow] the writer of,Camp de Thiaroye,camp de thiaroye,N/A, the last king of lombardy
which movie did [Albert Lamorisse] write,The Red Balloon|White Mane,white mane,The Red Balloon (Le Ballon Rouge),the little shepherd boy
what films did [Joe Carnahan] write,"The A-Team|The Grey|Smokin' Aces|Narc|Stretch|Blood, Guts, Bullets and Octane",the grey,Narc|Smokin' Aces|The A-Team|The Grey|Stretch|Boss Level,the black Dahlia murder case
which film did [Xan Hopcraft] write,Duma,duma,"N/A (Unfortunately, as an AI language model, I am not able to browse the internet and access updated information. Please provide me with a specific query that I can assist you with.)", the last man on earth
what movies did [Philip Gelatt] write,The Bleeding House,the bleeding house,They Remain | Europa Report | The Bleeding House | Phantom Limb | Paranoia 1.0, the man who would be king
what film did [Kevin Dreyfuss] write,Knights of Badassdom,knights of badassdom,"N/A (As an AI language model, I don't have access to Kevin Dreyfuss's filmography and I'm incapable of browsing the internet)",the last samurai 2
what is a film written by [Rosamond Lehmann],The Heart of Me,the heart of me,N/A,the man who knew too much 2nd edition
which movie did [Will Geiger] write,Elvis and Anabelle,elvis and anabelle,Elvis Has Left the Building,the last train from maryland
what is a movie written by [Tim Rice],Evita|Jesus Christ Superstar|Joseph and the Amazing Technicolor Dreamcoat,jesus christ superstar,The Lion King.,the muppet movie 2
which film did [Kathryn Hulme] write the story for,The Nun's Story,the nun's story,The Nun's Story,the man who fell to earth
what movies was [Bill Haney] the writer of,The Last Mountain,the last mountain,N/A,the last of the mohicans 2: the legend lives on!
what movies did [Fraser Clarke Heston] write,Treasure Island|Mother Lode,mother lode,"N/A (Fraser Clarke Heston is primarily known for his work as a film director and producer, and he has not written any notable feature films.)", the man who would be king
what movies did [Brian Askew] write,Formosa Betrayed,formosa betrayed,N/A (There is no notable screenwriter named Brian Askew on record),the last king of scotland
what films did [Millen Brand] write,The Snake Pit,the snake pit,"N/A (Millen Brand was a novelist and poet, not a screenwriter)",the man who loved women too much
which film did [Katie Dippold] write,The Heat,the heat,Ghostbusters (2016),the toaster project
what films was [Steven Rogers] a writer on,P.S. I Love You,p.s. i love you,"Captain America: The First Avenger, Captain America: The Winter Soldier, Captain America: Civil War, and Avengers: Infinity War.",the last of the mohicans 2: the legend of the lost tribe of the ojibway
what films was [Andrea Portes] a writer on,Hick,hick,"Bongwater, Hick, and Liberty Kid.", the last kiss 2: the sequel to the last kiss
what movies did [Frank O'Rourke] write,The Professionals|The Bravados,the professionals,"N/A (Frank O'Rourke was an American novelist and screenwriter, and did not write any movies in the traditional sense.)",the man who shot liberty valance
which movies was [Don Carlos Dunaway] a writer on,Cujo,cujo,N/A, the man who shot liberty valance
which film did [James Justinian Morier] write,The Adventures of Hajji Baba,the adventures of hajji baba,N/A,the man who walked alone
which movie did [Paul Hernandez] write,Sky High,sky high,N/A (There is no notable writer by the name of Paul Hernandez in the film industry),the last samurai 2
which movies was [Trevor Griffiths] a writer on,Reds,reds,Reds | Fatherland | The Cherry Orchard | Pirates of the Caribbean: On Stranger Tides (additional writing), the man who knew too little
which movies was [Gene Quintano] the writer of,Loaded Weapon 1|Sudden Death|King Solomon's Mines|Operation Dumbo Drop|Making the Grade|Treasure of the Four Crowns|Comin' at Ya!,sudden death,King of New York | Operation Dumbo Drop | Loaded Weapon 1 | Honeymoon in Vegas | Last Action Hero | Beverly Hills Cop III | Bad Boys | Police Academy 3: Back in Training | Allan Quatermain and the Lost City,the last samurai 2
what films was [Andrea Gibb] a writer on,Dear Frankie,dear frankie,Dear Frankie | Treasure Island | Swallows and Amazons | Elizabeth Is Missing, the man who knew too little
which film did [Bill Lancaster] write the story for,The Thing|The Bad News Bears,the bad news bears,The film that Bill Lancaster wrote the story for was The Thing (1982).,the man who would be king 2: the man who would be king 3: the man who would be king 4: the man who would be king 5: the man who would be king 6: the man who would be king 7: the man
what movie did [Betsy Morris] write the story for,Ten Inch Hero,ten inch hero,N/A,the man who loved women too much
which movie did [Joe Simpson] write,Touching the Void,the simpsons movie,Touching the Void, the great escape
which film did [Marcel Ophüls] write,The Sorrow and the Pity,the sorrow and the pity,Marcel Ophüls wrote and directed the documentary films The Sorrow and the Pity and Hotel Terminus: The Life and Times of Klaus Barbie., the last temptation of christ
which movies was [Oren Moverman] a writer on,The Messenger|Rampart|Married Life|Jesus' Son,the messenger,The Messenger | Rampart | Love & Mercy | Time Out of Mind | The Dinner | The Hummingbird Project | The Parts You Lose | I'm Not There | A Tale of Love and Darkness | Marriage Story, the brothers grimm 2
which movie did [E.L. Doctorow] write,Billy Bathgate,billy bathgate,Ragtime., the book of jane
what movies was [Peter Sattler] the writer of,Camp X-Ray,camp x-ray,Camp X-Ray.,the man who would be king
what is a film written by [Conrad Richter],The Sea of Grass,the sea of grass,"N/A (Conrad Richter was a novelist and short story writer, not a film writer)", the man who would be king 2: the king's evil brother is back!
what movies did [Walter Reisch] write,Ninotchka|That Uncertain Feeling|The Mating Season|The Girl in the Red Velvet Swing|The Heavenly Body,the girl in the red velvet swing,The Great Waltz | Ninotchka | Three Smart Girls | The Emperor Waltz | Comrade X | Margie | The Red Danube | The King and I | The Buster Keaton Story | Annabella,the man who would be king
what movies was [Duccio Tessari] the writer of,A Pistol for Ringo|The Return of Ringo,the return of ringo,"La tarantola dal ventre nero | A Reason to Live, a Reason to Die | Death Occurred Last Night | The Bloodstained Butterfly | Tony Arzenta | Milano odia: la polizia non può sparare | The",the man who would be king
what is a film written by [Ronald Austin],Harry in Your Pocket,harry in your pocket,N/A,the man who would be king
what films did [Robert B. Parker] write,Appaloosa,appaloosa,N/A (Robert B. Parker was a novelist and did not write for films),the last of the mohicans
what is a film written by [Paul Zindel],Runaway Train|The Effect of Gamma Rays on Man-in-the-Moon Marigolds|Up the Sandbox,up the sandbox,N/A (I cannot generate an answer without further context as Paul Zindel has written multiple films),the man who loved cats and dogs too much
what movies was [John B. Keane] the writer of,The Field,the field,"N/A (John B. Keane was a playwright and novelist, not a screenwriter for movies)",the last of the mohicans
what is a film written by [Alastair MacBain],Cloak and Dagger,cloak and dagger,N/A (There is no record of Alastair MacBain having written a film),the man who knew too much
what movies was [Pirjo Honkasalo] the writer of,Concrete Night,concrete night,The Three Rooms of Melancholia | Concrete Night | Ito - A Diary of an Urban Priest | The Matriarch | Fire-Eater | The Match Factory Girl | Tulennielijä | 28 | Kaksi ruumista t,the man who would be king
what is a movie written by [David Steiman],Santa's Slay,santa's slay,Santa's Slay.,the last of the mohicans 2: the legend lives on!
what movies was [David Zellner] the writer of,"Kumiko, the Treasure Hunter","kumiko, the treasure hunter","Kumiko, the Treasure Hunter | Damsel | Coyote | Kid-Thing | Goliath",the strange case of dr. jekyll and mr. hyde
which movies was [Joe Ahearne] the writer of,Trance,trance,Trance | The Replacement | Doctor Who: The Curse of Fatal Death | Perfect Strangers | Ultraviolet,the man who loved women too much
what is a movie written by [Natto Wada],Fires on the Plain|An Actor's Revenge,fires on the plain,N/A,the last samurai 2: the legend continues
what movie did [Amza Pellea] write the story for,"Uncle Marin, the Billionaire","uncle marin, the billionaire",N/A,the man who loved women too much
what movie did [Josh Gilbert] write the story for,A/k/a Tommy Chong,a/k/a tommy chong,N/A (as there are multiple people named Josh Gilbert credited in the film industry and no specific information is provided in the question),the last of the mohicans 2: the legend of the lost tribe
what movies did [Marshall Brickman] write,Annie Hall|Manhattan|Sleeper|Manhattan Murder Mystery|Jersey Boys|The Manhattan Project|For the Boys|Lovesick|Simon,the manhattan project,Annie Hall|Manhattan|Sleeper|Love and Death|The Manhattan Project|For the Boys|Jersey Boys|Manhattan Murder Mystery|The Confession|The End of Love|The Projectionist|The Words|Humor, the last samurai
what movies was [Leonard Freeman] the writer of,Hang 'Em High,hang 'em high,"Leonard Freeman was not a writer of movies, he was the creator and executive producer of the television series Hawaii Five-O.",the man who shot liberty valance
what is a film written by [Rachel Dratch],Spring Breakdown,spring breakdown,"N/A (Rachel Dratch is primarily known for her work as a comedian and actress on TV shows like Saturday Night Live and 30 Rock. While she has appeared in a few films, she has not written any that have been produced.)", the big bang theory season 2 episode 12 -> the penny drop theory of love and marriage part ii of iii
what films was [Eddie Murphy] a writer on,Coming to America|Beverly Hills Cop II|Norbit|Another 48 Hrs.|Boomerang|Vampire in Brooklyn|Harlem Nights,beverly hills cop iii,48 Hrs. | Eddie Murphy Raw | Beverly Hills Cop II | Harlem Nights | Boomerang | The Nutty Professor | Bowfinger | Norbit,coming to America 2: the sequel
which movie did [Hilary Brougher] write,Innocence,innocence,Stephanie Daley,the last of the mohicans 2
what movies was [Wilkie Collins] the writer of,The Woman in White,the woman in white,N/A (Wilkie Collins was a 19th century author and did not write for movies as they did not exist during his lifetime),the woman in white
which movies was [Steven Wright] a writer on,The Appointments of Dennis Jennings,the appointments of dennis jennings,Reservoir Dogs, the last word on dvd
what films was [Drew Fellman] a writer on,Born to Be Wild,born to be wild,"Born to be Wild, Island of Lemurs: Madagascar, Pandas.", the last samurai 2: the action hero's epic adventure!
what film did [David Mandel] write,The Dictator|EuroTrip|Clear History,eurotrip,Veep (TV series) | Curb Your Enthusiasm (TV series) | The Dictator | EuroTrip | Saturday Night Live (TV series) | Seinfeld (TV series), the last samurai 2: the action hero returns!
what movies was [Frank Davis] the writer of,The Train,the train,N/A (there is no widely known screenwriter named Frank Davis in Hollywood),the man who shot liberty valance
what movie did [Roger Rueff] write the story for,The Big Kahuna,the big kahuna,The Big Kahuna.,the man who loved women too much
what films did [Olivier Adam] write,"Don't Worry, I'm Fine","don't worry, i'm fine","Je vais bien, ne t'en fais pas | On the Run | The Very Very Big Company | Ton absence | Les yeux bandés | Au galop | A Kid | Les jours venus | Le fils de Jean | Personne n'",the man who loved women too much
what films was [David Mingay] a writer on,Rude Boy,rude boy,N/A,the man who knew too little
what films was [Euripides] a writer on,Medea|The Trojan Women,the trojan women,N/A (Euripides was a playwright in Ancient Greece and did not write for films as they did not exist during his time), the Bacchae
what movie did [Robert Paul Smith] write the story for,The Tender Trap,the tender trap,N/A (There is no information provided about any movie written by Robert Paul Smith),the man who would be king
which film did [Béatrix Beck] write,"Léon Morin, Priest","léon morin, priest",N/A,the man who loved women too much
